"id","class"
39,"feature request"
42,"information giving"
49,"information giving"
56,"problem discovery"
62,"information giving"
63,"problem discovery"
67,"information giving"
68,"feature request"
69,"problem discovery"
70,"feature request"
70,"information giving"
1588,"information giving"
1591,"problem discovery"
1591,"problem discovery"
1594,"problem discovery"
1594,"feature request"
1615,"information giving"
1619,"problem discovery"
1621,"information giving"
1624,"feature request"
1629,"information giving"
1633,"information giving"
1635,"problem discovery"
1637,"information giving"
1638,"feature request"
1640,"problem discovery"
1640,"information giving"
1644,"information giving"
1645,"problem discovery"
1645,"problem discovery"
1646,"information seeking"
1646,"information giving"
1651,"feature request"
1653,"feature request"
3793,"problem discovery"
3793,"information giving"
3796,"problem discovery"
3799,"information giving"
3800,"problem discovery"
3801,"problem discovery"
3803,"information giving"
3805,"information giving"
3806,"problem discovery"
3808,"problem discovery"
3809,"problem discovery"
3811,"problem discovery"
3814,"problem discovery"
3817,"problem discovery"
3820,"information giving"
3820,"information giving"
3826,"problem discovery"
3826,"information giving"
3828,"information giving"
3830,"information giving"
3831,"problem discovery"
3833,"problem discovery"
3833,"information giving"
3834,"problem discovery"
3836,"information giving"
3837,"problem discovery"
3837,"information giving"
3840,"information giving"
3841,"problem discovery"
3844,"problem discovery"
3844,"problem discovery"
3846,"problem discovery"
3849,"problem discovery"
3852,"information seeking"
3853,"information seeking"
3854,"problem discovery"
3854,"problem discovery"
3855,"problem discovery"
3857,"problem discovery"
3857,"information giving"
3857,"problem discovery"
3858,"problem discovery"
3858,"information giving"
3859,"problem discovery"
3862,"problem discovery"
3862,"information giving"
3864,"information giving"
3867,"problem discovery"
3867,"feature request"
3868,"information giving"
3868,"problem discovery"
3868,"problem discovery"
3868,"problem discovery"
3869,"problem discovery"
3871,"problem discovery"
3872,"problem discovery"
3872,"information giving"
3875,"problem discovery"
3876,"problem discovery"
3878,"problem discovery"
3881,"information seeking"
3882,"problem discovery"
3885,"problem discovery"
3886,"information giving"
3886,"information giving"
3887,"information giving"
3889,"information giving"
3890,"problem discovery"
3891,"problem discovery"
3891,"problem discovery"
3891,"problem discovery"
3895,"problem discovery"
3899,"problem discovery"
3900,"problem discovery"
3902,"information giving"
3904,"problem discovery"
3906,"problem discovery"
3907,"problem discovery"
3907,"problem discovery"
3907,"problem discovery"
3908,"problem discovery"
3909,"problem discovery"
3911,"problem discovery"
3911,"problem discovery"
3913,"problem discovery"
3914,"problem discovery"
3914,"problem discovery"
3914,"problem discovery"
16048,"information giving"
16055,"information giving"
16063,"information giving"
16075,"information giving"
16086,"problem discovery"
16088,"feature request"
16102,"information giving"
16106,"information giving"
16113,"information giving"
16114,"information giving"
16132,"problem discovery"
16135,"feature request"
16141,"information giving"
16154,"information giving"
16156,"problem discovery"
16157,"information giving"
16164,"problem discovery"
16164,"feature request"
16178,"information giving"
16183,"problem discovery"
16185,"problem discovery"
16189,"information giving"
16190,"information giving"
16195,"feature request"
16199,"information giving"
16206,"information giving"
16215,"information seeking"
16221,"information giving"
16227,"information giving"
16234,"problem discovery"
16240,"problem discovery"
16244,"problem discovery"
16245,"information giving"
16254,"information giving"
16256,"problem discovery"
16262,"information giving"
16274,"information giving"
16281,"information giving"
16284,"information giving"
16284,"information giving"
16298,"information giving"
16317,"information giving"
16332,"feature request"
16332,"information giving"
16343,"information giving"
16344,"problem discovery"
16349,"information giving"
16354,"problem discovery"
16354,"problem discovery"
16356,"feature request"
16361,"information giving"
16378,"problem discovery"
16382,"problem discovery"
16389,"problem discovery"
16391,"problem discovery"
16396,"problem discovery"
16396,"information seeking"
16397,"problem discovery"
16398,"problem discovery"
16402,"problem discovery"
16402,"problem discovery"
16409,"problem discovery"
16413,"information giving"
16421,"problem discovery"
16423,"problem discovery"
16425,"feature request"
16427,"problem discovery"
16428,"information giving"
16429,"feature request"
16443,"information giving"
16446,"information giving"
16446,"information giving"
16446,"information seeking"
16446,"feature request"
16452,"feature request"
16454,"problem discovery"
16456,"information giving"
16473,"information giving"
16477,"information giving"
16480,"problem discovery"
16490,"problem discovery"
16492,"problem discovery"
16492,"problem discovery"
16496,"information giving"
16497,"problem discovery"
16505,"problem discovery"
16507,"problem discovery"
16509,"information giving"
16510,"information seeking"
16510,"information giving"
16511,"problem discovery"
16513,"problem discovery"
16514,"problem discovery"
16514,"problem discovery"
16516,"problem discovery"
16516,"problem discovery"
16517,"problem discovery"
16519,"problem discovery"
16520,"information giving"
16520,"information giving"
16521,"problem discovery"
16522,"problem discovery"
16523,"problem discovery"
16525,"problem discovery"
16525,"problem discovery"
16527,"information giving"
16529,"information seeking"
16533,"information giving"
16545,"information seeking"
16545,"information seeking"
16548,"problem discovery"
16550,"information seeking"
16554,"problem discovery"
16554,"information giving"
16558,"problem discovery"
16560,"problem discovery"
16561,"problem discovery"
16573,"problem discovery"
16582,"information giving"
16584,"information giving"
16585,"information giving"
16587,"problem discovery"
16588,"problem discovery"
16589,"problem discovery"
16591,"problem discovery"
16591,"problem discovery"
16598,"problem discovery"
16606,"information giving"
16611,"problem discovery"
16613,"problem discovery"
16616,"information giving"
16619,"problem discovery"
16634,"feature request"
16635,"information giving"
16645,"problem discovery"
16647,"problem discovery"
16657,"information giving"
16684,"information giving"
16695,"information giving"
16698,"feature request"
16702,"feature request"
16709,"information giving"
16711,"information giving"
16713,"information giving"
16729,"problem discovery"
16743,"feature request"
16745,"information giving"
16749,"information giving"
16750,"information giving"
16757,"problem discovery"
16757,"problem discovery"
16768,"information giving"
16775,"information giving"
16775,"information giving"
16778,"information giving"
16778,"information seeking"
16785,"problem discovery"
16785,"problem discovery"
16786,"problem discovery"
16786,"information giving"
16823,"information giving"
16830,"information giving"
16832,"information giving"
16849,"information giving"
16856,"information giving"
16859,"information giving"
16887,"information seeking"
16887,"information seeking"
16903,"information giving"
16923,"information giving"
16933,"information giving"
16934,"information giving"
16936,"information giving"
16938,"information giving"
16939,"information giving"
16945,"problem discovery"
16951,"information giving"
16963,"information giving"
16973,"information giving"
16989,"problem discovery"
16990,"information giving"
16996,"information giving"
16997,"information giving"
17003,"information seeking"
17019,"problem discovery"
17020,"information giving"
17022,"information giving"
17029,"information giving"
17042,"problem discovery"
17054,"information giving"
17065,"problem discovery"
17070,"problem discovery"
17076,"problem discovery"
17079,"feature request"
17082,"information giving"
17098,"information giving"
17110,"information giving"
17121,"problem discovery"
17121,"problem discovery"
17142,"information seeking"
17144,"information giving"
17157,"information giving"
17159,"problem discovery"
17166,"information giving"
17173,"problem discovery"
17173,"problem discovery"
17174,"problem discovery"
17180,"information giving"
17181,"information giving"
17185,"information giving"
17190,"problem discovery"
17192,"information giving"
17217,"information giving"
17220,"problem discovery"
17224,"information giving"
17225,"information seeking"
17240,"information giving"
17244,"information giving"
17249,"problem discovery"
17258,"problem discovery"
17259,"information giving"
17259,"problem discovery"
17273,"problem discovery"
17280,"information giving"
17291,"feature request"
17298,"feature request"
17301,"information giving"
17312,"information giving"
17342,"information giving"
17347,"problem discovery"
17347,"problem discovery"
17370,"information giving"
17370,"information giving"
17374,"feature request"
17389,"problem discovery"
17394,"problem discovery"
17399,"feature request"
17411,"information giving"
17414,"information giving"
17424,"problem discovery"
17424,"problem discovery"
17429,"information giving"
17431,"information giving"
17436,"information giving"
17442,"problem discovery"
17449,"problem discovery"
17451,"problem discovery"
17460,"problem discovery"
17463,"feature request"
17463,"problem discovery"
17466,"problem discovery"
17467,"problem discovery"
17468,"problem discovery"
17470,"problem discovery"
17473,"information seeking"
17473,"problem discovery"
17474,"problem discovery"
17475,"information seeking"
17477,"information giving"
17477,"information giving"
17477,"problem discovery"
17479,"information giving"
17479,"problem discovery"
17481,"information giving"
17482,"problem discovery"
17484,"information giving"
17485,"information giving"
17489,"problem discovery"
17490,"information giving"
17490,"information seeking"
17490,"information seeking"
17490,"information seeking"
17490,"information giving"
17492,"problem discovery"
17493,"information giving"
17494,"problem discovery"
17494,"information giving"
17495,"problem discovery"
17495,"problem discovery"
17495,"problem discovery"
17496,"information seeking"
17497,"information giving"
17498,"information giving"
17499,"information giving"
17503,"information seeking"
17507,"information giving"
17507,"problem discovery"
17507,"information giving"
17510,"problem discovery"
17510,"problem discovery"
17517,"problem discovery"
17517,"problem discovery"
17522,"information seeking"
17523,"problem discovery"
17530,"problem discovery"
17533,"information giving"
17533,"information seeking"
17536,"information giving"
17537,"information seeking"
17538,"information giving"
17540,"information giving"
17545,"information giving"
17552,"information giving"
17552,"feature request"
17565,"problem discovery"
17565,"information giving"
17567,"feature request"
17569,"problem discovery"
17570,"feature request"
17573,"problem discovery"
17574,"problem discovery"
17575,"problem discovery"
17575,"problem discovery"
17579,"problem discovery"
17582,"problem discovery"
17583,"information giving"
17583,"problem discovery"
17585,"information seeking"
17587,"problem discovery"
17589,"problem discovery"
17590,"problem discovery"
17591,"problem discovery"
17593,"problem discovery"
17594,"problem discovery"
17595,"problem discovery"
17595,"problem discovery"
17603,"feature request"
17604,"feature request"
17606,"problem discovery"
17606,"problem discovery"
17606,"information giving"
17608,"problem discovery"
17612,"problem discovery"
17616,"information giving"
17619,"feature request"
17621,"information seeking"
17623,"information giving"
17624,"information giving"
17633,"information giving"
17636,"problem discovery"
17637,"information seeking"
17643,"feature request"
17647,"feature request"
17649,"problem discovery"
17650,"information giving"
17659,"problem discovery"
17668,"problem discovery"
17668,"feature request"
17682,"information seeking"
17683,"information giving"
17684,"information giving"
17686,"information seeking"
17697,"feature request"
17700,"feature request"
17703,"problem discovery"
17704,"information giving"
17706,"problem discovery"
17707,"problem discovery"
17707,"information giving"
17709,"problem discovery"
17716,"feature request"
17717,"information giving"
17718,"information giving"
17729,"information giving"
17742,"problem discovery"
17744,"information giving"
17745,"information giving"
17760,"information giving"
17767,"information giving"
17770,"problem discovery"
17781,"feature request"
17784,"information giving"
17787,"information giving"
17790,"problem discovery"
17795,"problem discovery"
17797,"problem discovery"
17798,"problem discovery"
17801,"information giving"
17806,"problem discovery"
17823,"information giving"
17836,"problem discovery"
17836,"problem discovery"
17837,"problem discovery"
17863,"information giving"
17865,"problem discovery"
17873,"problem discovery"
17873,"problem discovery"
17880,"problem discovery"
17881,"problem discovery"
17883,"information giving"
17885,"information seeking"
17890,"information giving"
17895,"problem discovery"
17906,"problem discovery"
17915,"information giving"
17919,"problem discovery"
17920,"information giving"
17923,"information giving"
17924,"information giving"
17931,"problem discovery"
17935,"information seeking"
17942,"information giving"
17948,"problem discovery"
17952,"information giving"
17957,"information giving"
17962,"problem discovery"
17964,"information giving"
17964,"information seeking"
17966,"problem discovery"
17966,"problem discovery"
17967,"information giving"
17970,"information giving"
17971,"problem discovery"
17972,"problem discovery"
17982,"feature request"
17982,"problem discovery"
17986,"problem discovery"
17988,"information giving"
17994,"problem discovery"
18000,"problem discovery"
18000,"feature request"
18006,"information giving"
18014,"problem discovery"
18016,"problem discovery"
18023,"information giving"
18029,"information giving"
18033,"information giving"
18040,"information giving"
18042,"problem discovery"
18049,"problem discovery"
18055,"information seeking"
18056,"information giving"
18064,"problem discovery"
18068,"problem discovery"
18068,"feature request"
18068,"problem discovery"
18087,"problem discovery"
18088,"problem discovery"
18101,"information giving"
18102,"feature request"
18106,"problem discovery"
18115,"information seeking"
18116,"problem discovery"
18118,"problem discovery"
18127,"information giving"
18128,"problem discovery"
18134,"problem discovery"
18135,"problem discovery"
18136,"problem discovery"
18147,"problem discovery"
18149,"problem discovery"
18150,"information giving"
18152,"information seeking"
18161,"information giving"
18171,"feature request"
18174,"information giving"
18174,"information giving"
18184,"information giving"
18187,"information giving"
18201,"information giving"
18201,"information giving"
18214,"information giving"
18226,"information giving"
18231,"information giving"
18237,"information giving"
18245,"information giving"
18254,"problem discovery"
18254,"problem discovery"
18256,"information giving"
18261,"information giving"
18263,"information giving"
18263,"information giving"
18263,"information giving"
18267,"information giving"
18281,"problem discovery"
18292,"problem discovery"
18300,"information giving"
18303,"problem discovery"
18307,"problem discovery"
18322,"problem discovery"
18322,"problem discovery"
18326,"problem discovery"
18326,"problem discovery"
18329,"information giving"
18333,"information giving"
18335,"information giving"
18342,"information giving"
18356,"feature request"
18357,"problem discovery"
18358,"information giving"
18366,"problem discovery"
18370,"problem discovery"
18374,"information giving"
