"id","review","class"
"144214","Alone	So bad not updating new version to my Mobil only only it is coming error 919 ( :","problem discovery"
"8","Now I can  t play game at all.","information giving"
"8","It crashes at opening every time!!","problem discovery"
"23","Most of them don  t even know how to use spell check on their phone for heavens sake!","information giving"
"28","Please get more games soon, can  t take the wait!","feature request"
"32","\nHi, my aim has improved as has my ability to figure out how to get 3 stars on most all levels.","information giving"
"35","All I get is waiting then failed to update.","problem discovery"
"38","I updated my iOS software and it  s not that or my phone.","information giving"
"38","I know you can do better, Rovio!","information giving"
"1542","I went in to print out my schedule request form, so I clicked the print icon but it crashed on every attempt.","problem discovery"
"1551","\nMenu disappears\nCan  t rename files\nMoving files sometime fails and without a cited reason.","problem discovery"
"1552","Why keep on asking when I already said no?","information seeking"
"1552","Second, why not use background update feature of ios7 to do it, rather than the awkward location based method?","feature request"
"1553","It wont even let me change tabs, then crashes.","problem discovery"
"1554","Ledmetallicadc ,  After updating, it logged me out and every time I try to log in, it crashes immediately.","problem discovery"
"1558","Drop box as a service is rather annoying as it seems to be made for old people who haven  t made the jump to collaborating in real time in the cloud.","information giving"
"1559","Why are you following Apple  s lead with the crappy, dull, uninspired look?","information seeking"
"1562","Ever since iOS 7 update, Dropbox has not worked; constantly crashes, when it does run it is EXTREMELY slow, and there are problems with camera uploading.","problem discovery"
"1563","Movies should be separated out from videos, just like in the Photos app.","feature request"
"1565","Why I can  t I upload photos from my camera roll one at a time instead of the entire camera roll?","information seeking"
"1565","Please change this.","feature request"
"1567","I even set up a different box to try and fix it thinking my original box was the problem.","problem discovery"
"1569","I can  t do anything.","problem discovery"
"1571","rugg31 ,  Flat out will not open on a new iPad Air ,","information giving"
"1575","What happened?","information seeking"
"1578","All these updates, and I still can  t rename things?","feature request"
"1581","And I never added anything to my favorites.","information giving"
"1582","JohnInThisLife ,  Why did you drop support for earlier IOSs?","information seeking"
"1585","Why no backward compatibility to iOS 6?","feature request"
"1585","I think it is a huge mistake to do so.","problem discovery"
"1585","I have been a Dropbox user for years and, unfortunately, must look for another solution unless an iOS 6 version is made available again.","information giving"
"1586","This app needs to support older OS versions!","feature request"
"3560","Instead of having multiple paper notebooks or little notes everywhere, everything  I need to remember or reference goes into Evernote.","information giving"
"3561","Our minds need Evernote to actually function today as the creative, thinking creatures we are and unburden us from the voluminous, mundane which informs our thinking.","information giving"
"3561","While there are still functions which are not yet available on all mobile platforms these do not detract from the unequivocal 5+ rating.","information giving"
"3563","I was about ready to leave Evernote because it would often crash and lose my thoughts, also the skeumorphic design was painful to look at.","problem discovery"
"3563","Never crashes, and it  s so much simpler than the old version.","information giving"
"3566","That  s high praise these days, this app does just what I need it to do, and does it well.","information giving"
"3566","The update downloads, but the the nook says it can  t open the download.","problem discovery"
"3568","The app really needs a proper TODO list that functions as a completed and not competed list.","feature request"
"3570","I use this to keep track of many items   the company is great at providing support and they update the software often.","information giving"
"3578","Please stop all the enhancements.","information giving"
"3578","It was a wonderful app before and now it almost takes a manual to figure out how to use it.","feature request"
"3588","It crashes less often, but still does so.","problem discovery"
"3588","\n\nSecond, it needs a way to export multiple notes at once to Word so that notes can be edited and compiled into articles and papers for publishing.","feature request"
"3592","That  s a vote of confidence that this great, versatile app will be around for as long as I need it.","information giving"
"3593","It crashes occasionally, and the text formatting is bad.","problem discovery"
"3593","The problems are obvious, and I wish they  d be fixed.","problem discovery"
"3600","Latest update crashes constantly.","problem discovery"
"3616","Now I know why it  s one if the best apps available in all platforms.","information giving"
"3617","This single app has replaced my GTD apps, note apps, outliners, presentation apps, file sharing, and with the sync is available everywhere I need.","information giving"
"3619","Great to have my stuff available in one place.","information giving"
"3623","Reason for only 4 stars is because some features are not available across all platforms.","problem discovery"
"3626","The app seemingly does not support cut and paste after IOS7 upgrade.","problem discovery"
"3630","\n\nI  d give 5 stars, but Evernote really need to give feature parity with their desktop version.","feature request"
"3632","It used to allow adding multiple tags at once.","information giving"
"3633","Just clip all thoughts you have from any medium to the software and it is recall able.","information giving"
"3638","Well worth the download and will purchase the subscription once I learn more on how to maximize it.","information giving"
"3647","Ever since EverNote 'upgraded' to iOS7 style, it has been a poorly designed bloated app that constantly crashes.","problem discovery"
"3652",": ) That said, Evernote has made a massive impact in my life in terms of productivity and organization.","information giving"
"3653","Every time I re download the app, I then need to wait until it downloads my all my offline notebooks.","problem discovery"
"3666","It seemed cool, but I just don  t take that many notes, I thought.","information giving"
"3666","\n\nNow imagine that for invoices, reference photos, old magazines, newspaper articles, kids school awards, receipts, every recipe you own, the manual to your dishwasher, the color of paint in in your living room, the business card of the guy who installed your flooring, etc.\n\nWhether we like it or not, we need to acquire the skill of information management.","information seeking"
"3667","Please do take out the marketplace and announcement ads though.","feature request"
"3671","You can  t search within a specific notebook without typing in code (very time consuming even IF you can figure out how to do it).","feature request"
"3671","The list of search results should show the line of the found text, so you can see quickly if that  s what you  re looking for without having to open it.","feature request"
"3672","\n\nWish I could create tables since I use this mostly to trap info for reference.","feature request"
"3674","There are things it would be nice if EN could do but maybe we  re all getting spoiled.","feature request"
"3675","This is the only notepad solution I use for my business!","information giving"
"3683","Whether you want to organize your butterfly collection or organize your dissertation Evernote can help you do it.","information giving"
"3684","As of Dec upgrade it still crashes.","problem discovery"
"3684","It has become something I rely on but it crashes on my iPhone.","problem discovery"
"3685","I tried opening it from the App Store but it wouldn  t let me.","problem discovery"
"3687","This app alone is the first one I recommend to any family member or friend with a new iOS (or other) device.","information giving"
"3698","Easy to search for information when I need it ,","information giving"
"3707","I sure wish there was a better app than Evernote for this feature set because it has so many bugs and feature limitations.","problem discovery"
"3713","Also wish there was a way to view all notes in Flipboard and to display alerts for random notes!","feature request"
"3720","I don  t need any other note taking apps to store my notes.","information giving"
"3720","Every time I have something come up with in my mind, I just simply take a draft in Evernote and tag it as idea.","information giving"
"3723","It crashes constantly.","problem discovery"
"3726","When I update a note on my PC it takes forever to show up after I sync on phone, sometimes I even have to log out and back for it to show up.","problem discovery"
"3728","So because of this program, I updated my iOS, and it changed its look completely and its stability.","information giving"
"3728","It crashes every time within 2 minutes of using it.","problem discovery"
"3728","Please make it stable, and if possible, bring back the old UI.","problem discovery"
"3729","It would be nice to have a word counter feature though ,","feature request"
"3730","If you are looking for an app to keep all your information:from pictures to web links,quotes,recipes,etc.This is the ultimate app,look no more!","information giving"
"3734","Blurring out the right side means you can  t read or really see that area when the sidebars open anyway.","information giving"
"3740","I currently cannot attach photos without it crashing, so I may have to find a replacement soon.","problem discovery"
"3747","Just installed it on a new iPad; I  m glad I don  t have too much invested in it, because I  m abandoning it over the font size issue.","problem discovery"
"3747","The font is smaller than that of any other app I use, and there is NO way to control it, short of using Evernote through a web browser which entirely defeats the purpose.","feature request"
"3749","s problems with this app , 5,  ptcgkm ,  This is a great app, which I have been using for many years.","information giving"
"3749","I tried fixing it myself before contacting support, but I made the problem worse.","problem discovery"
"3749","\n\nI recommend Evernote to everyone I meet.","information giving"
"3751","Since the new update the app crashes a lot on my 4s   especially when I try to take a photo in the app.","problem discovery"
"3753","Start crashing : ( ,","problem discovery"
"3756","But since IOS7, it crashes and freezes on a website at least once a week.","problem discovery"
"3756","The only way I can continue is to go through iTunes to delete the whole app, then reinstall it.","information giving"
"3757","Love the ease with which other apps can integrate with Evernote.","information giving"
"3758","It constantly reports failure to synch, it freezes momentarily between all actions, it crashes here and thee, and the search function sometimes fails to find key words.","problem discovery"
"3758","Note, some of my problems may be related with some incompatibility of iPad2 with iOS7.","problem discovery"
"3758","The problems I  ve experienced are not as severe as what others are reporting.","problem discovery"
"3758","I am still working on EN, but will also be on stand by, and looking for possible alternatives.","information giving"
"3759","Yodaman70 ,  Not sure if this is an Evernote or iTunes issues but found this app and two others aren  t upgradeable yet 60 other apps no problem.","problem discovery"
"3762","It  s time for Evernote to take a good, hard look at its software and start pulling features.","feature request"
"3764","Still crashes a lot when capturing and attaching photos to the note.","problem discovery"
"3767","This app is ok, but we need to get these machines to be more than places to brain dump.","feature request"
"3771","And, each time a sync error occurs, the error report transmission fails as well.","problem discovery"
"3772","I would use it exclusively if it had spreadsheet editing capabilities.","feature request"
"3782","Had been five for me, but the update one previous to this broke it for whole tribes of us, and it took them a week to get the fix out (see below).","problem discovery"
"3782","How do these things get out of the gate?","information seeking"
"3783","My only wish list item would be a URL scheme for passing information to the app or opening a search from elsewhere  something Launch Center Pro could use.","feature request"
"3783","\n\n** iOS Redesign **\nProps to the Evernote team for not just tweaking the look of their app for iOS 7 like so many others.","information giving"
"3786","Will update rating accordingly.","information giving"
"3786","Tech support tried to help, and I  m a premium user, but none of them came right out and said what was wrong, something like: 'Sir, you are experiencing what millions of others are experiencing.'","problem discovery"
"3786","We have created an unreliable app.","information giving"
"3786","What happened?","information seeking"
"3786","Just use Notebooks or OneNote.","information giving"
"3791","These guys know how to think outside of the box to let a note taking app evolve and immerse itself into your life and business.","information giving"
"3791","\n\nHighly recommended note taking app.","information giving"
"12438","It  s already possible to rearrange boards   why not the pins on a single board?","information seeking"
"12440","This app provides me with just that   the opportunity to glance at photos, and most photos have links for further information.","information giving"
"12454","Pinterest is now my go to resource whenever I need ideas or inspiration for nearly anything in life.","information giving"
"12454","The only problem is that it  s like a giant vortex where I look up and an hour has passed.","problem discovery"
"12458","No longer have to cut a tree down when I can pin it!","information giving"
"12468","This is the easiest way for me to use Pinterest, so I don  t just spend hours on the site.","information giving"
"12499","This can be frustrating when your in the middle of adding important ingredients.","feature request"
"12505","\nBut you should be able to rearrange your boards on here.","feature request"
"12509","Works well crashes sometimes, but good!","problem discovery"
"12521","This app has made my life so much easier!","information giving"
"12533","I have had this app and I  m literally on it everyday.","information giving"
"12541","Powerful for seeing goals I have set for the year to attract what I need to make a goal a reality.","information giving"
"12545","I love how you can look ion vastly different categories; where you can find anything you can think of!","information giving"
"12551","I recommend some improvements, such as being able to rearrange pins and boards on the app.","feature request"
"12554","I uninstalled the app from my iPad because it always crashes.","problem discovery"
"12562","I enjoying seeing how many folks are following me, and sometimes adding photos I take, or find outside of pinterest.","information giving"
"12565","I can always find what I need and great new ideas!","information giving"
"12567","You can create any type of board you want and pretty much everything else is customizable too.","information giving"
"12579","It needed to happen.","feature request"
"12581","I  m not sure how I managed in life without Pinterest (or this app for that matter) but it  s my #1 go to if I need a little inspiration.","information giving"
"12601","I wish after it crashes you could go back instead of starting over!","problem discovery"
"12604","You look further and it was/wasn  t what you expected.","information giving"
"12604","You have to arrow back using your browser and it takes you ALL The Way Back to the Beginning of scrolling.","information giving"
"12608","I  ve learned how to do so many things through Pinterest pins and enjoying pinning items of my own.","information giving"
"12608","I totally recommend this app.","information giving"
"12614","I have had no problems with it crashing my phone.","problem discovery"
"12617","This is such a fun way to kill time..waiting for appointments, when I can  t sleep or just feeling lazy bones.","information giving"
"12655","I love this app I get recipes, how to  s, ideas and tons of diy ideas.","information giving"
"12661","The app used to have major freezing problems.","problem discovery"
"12663","You can create a board of your own to refer back to also.","information giving"
