"id","req_specification","class"
"1317","I know what project this is.","NULL"
"32","Exactly.","NULL"
"1456","As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.","F"
"919","Can we change the date of the iterations since we're clear on that. Nobody .","NULL"
"60","Right.","NULL"
"1102","Hi. Who do we have on the call?","NULL"
"226","What kind of question makes sense in it?","NULL"
"872",". This is the one I showed you.","NULL"
"1037","As a trainer, I want to create a new course or event, so that site visitors can see it.","F"
"1224","As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally.","F"
"767","As a user, I want to generate and validate D Files from FABS and FPDS data.","F"
"1272","As a user researcher, I want to set up a website recruitment test, so that I can see if we can recruit users in real time from the website.","A"
"1735","Nobody's here.","NULL"
"1220","If I see a bunch sixes or sevens or something or a bunch of tens and somebody uses a seven, then it's like, 'Why is it?' and then try to address what the concern is. So like Patrick in , what would make it better than a seven?","NULL"
"1398","As a FABS user, I want to link the SAMPLE FILE on the 'What you want to submit' dialog to point to the correct file, so that I have an accurate reference for my agency submissions.","F"
"1089","As a site member who has read a teaser on the front page, I want to read the entire article so that I can finish articles that appeal to me.","F"
"1810","You need to talk to . We have residents there to notify people. We need to get him on board. OK, we have decided on the Agile Class, and I am gonna get it scheduled based on everybody's calenders. John wanted us to bring a couple of the Denver people in. Talked to Matt yesterday about trying to make sure it all works with their calenders, as well. We are going do a one day class. It will probably be late April, early May would be my guess.","NULL"
"1184","We really messed with Paige's report. Seems like being every bad day out there with all the sudden releases.","NULL"
"937","Yeah, and I don't even touch that partly, so there's still that whole falling out there. I'm trying to get at least to the point where they're functional business wise so I need to get the work orders in there. I think ship orders escaped my...I was looking at the publish package for this version, and I noticed that I was publishing ship orders before and I'm not even importing those now.","NULL"
"1134","Best of both worlds is, Baski can do that within Notify, not a Windows app. Did you ever look at that, Baski?","NULL"
"1604","As a member, I want to have the system email me a new password or a password reminder since i have short-term memory problems.","F"
"927","It will help us out.","NULL"
"253","Yeah, no, no, no, not the swipe, but the click, you mean that you accidentally clicked somewhere.","NULL"
"890","As a site visitor, I want to see new content when I come to the site, so that I come back more often.","F"
"460","And then all the other scale questions are in the same area of the report.","F"
"896","All right, that's what we're doing. Not all the rest of the stuff the way words it. I've told you that. I don't word it like they do. I word it so I know what I'm doing.","NULL"
"1833","I got it.","NULL"
"497","What do you guys think about, make about creating an adjustable report?","NULL"
"666","Thank you and have a nice day.","NULL"
"646","I think they just want to have nice widgets, which they can include in their internal meetings or yeah.","F"
"830","I'll have to hang up to call the other people, then.","NULL"
"1492","Yeah.","NULL"
"1062","As a user, I don't want to see NASA grants displayed as contracts.","F"
"453","So maybe let's say a survey can maximum at the, at the maximum contain 10 questions.","A"
"233","Um, I cannot hear you both.","NULL"
"1786","As a team member, I want to have a platform that allows me to rapidly prototype HTML ideas.","A"
"970","That could be done by someone else other than you.","NULL"
"494","I like this idea.","NULL"
"811","As an employee from the HR department, I want to have access to the full information of all employees working for this business.","A"
"1105","SQL could be . Commands can go back and forth a lot.","NULL"
"752","As a moderator, I want to create an account for the application by entering my name, email address, a password and a username, so that I can start using the application.","F"
"1381","As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.","F"
"385","Only question three out of five should be commended.","NULL"
"31","Yeah.","NULL"
"53","If you have a business hierarchy of a bit of, of a specific company, then let's say the top manager board, they will typically, some of them are maybe only one of the top managers will be the project manager of a project because he will sort of manage all the subordinates business units.","F"
"176","I mean, actually I really like what Mark said.","NULL"
"1314","Bye","NULL"
"264","Yeah.","NULL"
"1435","As an Agency user, I want to be able to include a large number of flexfields without performance impact.","F"
"1082","You can filter by the drop-downs on the grid.","NULL"
"776","As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.","A"
"1081","As a workshop attendee, I want to have a summary of what we learned, so that I can understand our next steps and how they apply to me.","A"
"879","Your login was not successful.","NULL"
"738","As a team member, I want to have an updated acquisitions roadmap, so that I can plan accordingly.","A"
"518","I just start wondering if it even makes sense that this, their manager platform is responsive, because does it make sense for a manager to manage all his employees create service and stuff on iPhone or iPad?","A"
"128","You're maybe, maybe we can say the project manager can define these texts for his company.","F"
"1497","As a Publisher, I want to store my data quickly and easily online.","A"
"1217","Actually it was one of the disaster recovery servers.","NULL"
"1690","As an owner, I only want zero-padded fields, so that I can justify padding.","F"
"465","We will have to include really complicated the algorithms, maybe even NLP or something, which should be way out of scope.","NULL"
"270","So like the answers, Hey, that's what you answered to use submit this.","NULL"
"420","There's someone calling me,","NULL"
"1290","As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.","F"
"663","So I'll just stack get all this information in a readable document and I'll provide you with it.","NULL"
"1632","I try to be.","NULL"
"499","Yeah.","NULL"
"456","We have to group them, but we have to create a single empathy or wait sheet for each question report.","NULL"
"1553","As a Developer, I want to get a Data Package into Julia in seconds, so that I can start using the data in doing analysis and visualizations.","A"
"1653","As a camp administrator, I want to be able to notify parents all at once, so that they can be notified of any upcoming events.","F"
"488","That's actually the exact input I was hoping for, because I mean, technically you, if, if within the same survey you have different topics for some reason, technically you could assign ma as in a group to, to the questions so that it would be possible to, to then in the report group by, by these question groups for, for the results.","NULL"
"392","Okay, yeah, okay.","NULL"
"1582","We as a group have caused a lot of our need to do context switching, because we oftentimes aren't done when we say we're going to be done. For whatever reason that is, and then we end up in a bind because we can't wait until we're done with something before we say we can...We have to keep things in the queue, in the schedule. Maybe next time, be thinking about that.","NULL"
"922","As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","F"
"1043","As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer.","F"
"782","Yeah. Exactly.","NULL"
"434","I'm sitting at home all the time","NULL"
"1558","As a site visitor, I want to know as I glance around the home page what on earth a CSM is and why I'd want to be one, so that I read more.","F"
