"id","req_specification","class"
"244","As a web recruiter manager, I want to confirm the recruiter is set up and working properly on Science360.gov.","F"
"1152","Jenny's joining the police force?","NULL"
"1164","As a Developer, I want a jQuery plugin for Core Data Packages, so that I can use it to apply to form control that uses a core dataset for autocompletion.","F"
"113","As an NSF administrator, I want to shadow the CMS implementation, so that I can learn as the prototype is developed further.","A"
"591","This is based on a meeting that we had with you last week. These were the epics that we came up with in that meeting and we ran with that from there.","NULL"
"823","As a recruiter, I want to be able to extend an ad for another 30 days by visiting the site and updating the posting, so that my ad remains active.","F"
"565","As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for the beta.nsf.gov ATO.","A"
"704","Only three minutes, it's not worth it .","NULL"
"645","As a site visitor, I want to see a trainer's rating, so that I choose a course from an appropriate trainer.","F"
"284","You go to the map, on that map, you show whatever you want and from there, you can do what you want. There still has to be a way to filter down to something. I'm not real sure how to group that together in the sense of, say if I have something like a list of contracts.","NULL"
"52","As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.","A"
"884","As a website user, I want to see updated financial assistance data daily.","F"
"993","When we mention maintenance, it also includes correcting their data?","NULL"
"450",".","NULL"
"66","the Notify stuff. At any rate, we have limited...We have deadlines for things, but we have Mahesh here. I really want to know from Baski what direction should we take as far as the next two weeks?","NULL"
"867","Is that how they spell tolerate? Is it right?","NULL"
"687","As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations.","A"
"716","There may be some little nuances to how the code works. Susan and I can do the actual education .","NULL"
"849","As a ResearcherPublisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data.","F"
"320","Until we get the new look.","NULL"
"573","We're probably going to have another emergency release tonight around, I'd say, 7:00 or 8:00. How many days passed?","NULL"
"621","I've got to see. Mike was thinking that those would be treated as two separate records. I hear what you're saying. We have a whole record leaving and a whole record coming in. To me, it would be changing the VIN.","NULL"
"1078","As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.","F"
"568","If we get rid of the context switch, that problem goes away.","NULL"
"512","That all lends itself to this Notify being conversation-centric. Is that your question? To continue it that way?","NULL"
"1025","As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.","F"
"627","All right, I'll do that then, before I try and schedule something. It's 9:21. I'm bringing up what we have. Do we still have testing the CTDI? Did they send something else yesterday?","NULL"
"92","As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","F"
"317","As a camp administrator, I want to store campers' emergency information in a database, so that I can easily notify the necessary parties in case of an emergency.","A"
"124","They've got the scanner. They can have their cycle count up and scan the stuff in. That stuff sounds more like DC3, which I did have that thought when I was talking to him about it. I don't know why I didn't invite you to this meeting. My bad.","NULL"
"566","Yes.","NULL"
"999","As a Developer, I want to get a Data Package into C++ in seconds, so that I can start using the data in doing analysis and visualizations.","A"
"153","I chatted with him this morning, I IMd with him this morning and he said that there's nothing else that he's aware of, that he's heard of, or seen that would be similar to what we're experiencing.","NULL"
"897","As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","F"
"1169","As a participant, I want to be shown all estimates at the same time after all estimators have given their estimate, so that I can be sure estimates are independent and not influenced by other estimates given in the same draw.","F"
"474","As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.","F"
"926","OK, thanks. We'll talk to you guys later.","NULL"
"883","As a team member, I want to know what visual design related tasks we might need to plan for this sprint, so that I can assign tasks as necessary.","A"
"330","There's two other items on there that I'm still looking into, and we'll get back to you guys as soon as we can. Regarding the that seems to be occurring, and the part number. The batches and the part number.","NULL"
"862","Mm-hm. Look at the paper. It's super cool.","NULL"
"382","As a participant, I want to be able to change my estimate up until the last person selects a card and all are shown, so that I can change my mind based on information I hear.","F"
"254",". The outside vendor they use. Industrial Movers?","NULL"
"618","As a Developer I want to quickly access Broker application data, so that I can investigate issues.","F"
"723","As a participant, I want to have a small thumbnail photo displayed near where my cards are played, so that the game is more personal because I see who I'm estimating with.","F"
"39","As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).","F"
"651","As an Agency user, I want historical FPDS data loaded.","F"
"171","As a site member, I want to subscribe to an RSS feed of jobs available, so that I can read them without visiting the site.","F"
"429","As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over from prototype to FISMA low.","A"
"822","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.","F"
"366","As a Broker user, I want to help create content mockups, so that I can submit my data efficiently.","F"
"225","As a user, I want more information about how many rows will be published prior to deciding whether to publish.","F"
"1055","As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.","F"
