"id","req_specification","class"
"3654","If you get familiar with XAML, you could split the screen, and put two controls side-by-side. It's going to reduce our real estate on the screen and stuff, but you could split it, split the two columns and put each control in there, and see if we can get them side-by-side might actually be useful for testing, and comparison, and such.","NULL"
"1425","","NULL"
"785","It's exactly the same thing.","NULL"
"2983","And then  procedure.","NULL"
"3946","Yeah, you're not always going to get them on the home page with the conversations but if you go back to...","NULL"
"1328","As a camp worker, I'm able to report a list of supplies to the manager that the camp is short of.","F"
"730","A banker sold it finally. That was when we had four.","NULL"
"862","As a staff member, I want to denote an application with a Final Action status. So that I can finish it.","F"
"4137","Make sure it's the middle finger.","NULL"
"4267","","NULL"
"1041","As a site editor, I want to update any course or event, so that I can fix things the original author hasn't.","F"
"3433","I think two is...","NULL"
"5012","Oh, OK.","NULL"
"397","That we are now found the concepts about this, because this will be a really, really important feature.","NULL"
"2437","I did find several locations that seemed to be where the primary account was, a 12, 20, 6, 10, which is the new, right? One of them was the RDC, which was in there, which looked like it was grapevine...Something like that.","NULL"
"2556","I see both sides of that. Whatever you want to do.","NULL"
"488","That's actually the exact input I was hoping for, because I mean, technically you, if, if within the same survey you have different topics for some reason, technically you could assign ma as in a group to, to the questions so that it would be possible to, to then in the report group by, by these question groups for, for the results.","NULL"
"3227","Frame  .","NULL"
"1407","workflow, with everything underneath it. You click on Poles and then you've got your links to all the things you can do on the poles.","NULL"
"3811","It's a lot easier to view everything, than TFS is. What we want to do is get the stories right on this, and then move them over to TFS so that there's less work in the long run.","NULL"
"3291","Can we change the date of the iterations since we're clear on that. Nobody  .","NULL"
"1771","OK, so that's the validation problem, and then the other problem is connectivity. That's, again, why a laptop deals with that one.","NULL"
"4380","Hopefully, this is the...","NULL"
"3071","Today they reverse retire and then transfer to 1220. Step one is reverse retiring and transfer to 1220. Then, step two is updating the frame.","NULL"
"3733","That and the inspection.","NULL"
"1434","It's up to whoever's flushing the story out to determine whether or not they want to create stories for that, because even the stories can become epics if you break those down. Nothing prohibiting that.","NULL"
"2751","It keeps going back to you. Hold on. Hello?","NULL"
"3967","they go directly to the landing spot or whatever.","NULL"
"332","What Erin, we, in the report, there is a, maybe a dedicated section for a user feedback or user inputs were very conceived for, for which questions, which additional inputs came in.","A"
"3923","But you might have...","NULL"
"3451","All of that has to be...We can't mark the entire clause. We can mark that line as being complete.","NULL"
"573","But now, well, I would give the admin the possibility to correct the translation at least, but just, just as we clear, we are now talking about two different things.","F"
"2374","So, I'm scared to do anything on these, because I don't want there to be bad accounting data on there, but I also don't want them to fall out, either. Could I maybe take the most popular exchange code out of the...? That's kind of almost a quirky,  thing to do, and I feel like exactly like what Susan motioned to do, like I'm kind of throwing a dart.","NULL"
"2430","Yeah. I need to get back with them. I haven't sent any replies. Plus, he didn't call me back.","NULL"
"1943","What's the deal on the projects for the shipments coming in?  shipments.","NULL"
"1189","In a minute we can put mobile Collect, because really the only piece of that was of interest there to me was the small little convert file that switched it from map service to...","NULL"
"1525","As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.","F"
"1379","If you've got the tab functionality other than the Conversation.","NULL"
"1895","You did. Last week. We tested some of it.","NULL"
"4402","I don't know. Right. I'll paste for everybody. You can do that and anything interesting, anything good to know? Anything I need to be aware of for the implementation. Right now basically its just map view, zoom in, zoom out, context menu, copy paste and...","NULL"
"4477","Bad attitude.","NULL"
"1855","As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.","F"
"2765","No, I have Brian. Brian can you hear me?","NULL"
"2605","Apparently Brian does.","NULL"
