"id","req_specification","class"
"102","As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations.","A"
"190","As a developer, I want an online service that is connected to my data repository that validates data on update, so that I can delegate data validation to a third party.","F"
"410","Better sooner rather than later.","NULL"
"873","As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.","A"
"524","As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","F"
"512","That all lends itself to this Notify being conversation-centric. Is that your question? To continue it that way?","NULL"
"683","Yeah, as long as the tester gets updated like the week after or two weeks after so that it's available for when we need to do tests on the interface, because he's also off that week that you're off. That's why I'm like, stuff's got to be done. It's got to be right because you all are off, which is allowed. Just got to be done.","NULL"
"213","As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization.","F"
"778","As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.","F"
"99","As a trainer, I want to be assured that no one can submit the same answers multiple time and skew my results, so that my ratings are accurate.","A"
"259","As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account.","F"
"532","For them.","NULL"
"278","As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","F"
"1040","As a site visitor, I want to view a course I can click on the trainer's name and be taken to the trainer's profile, so that I can read more about a trainer before registering for a course.","F"
"870","What about that?","NULL"
"404","As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule.","F"
"607","As a user researcher, I want to have the WIG prototype, so that I can finalize the second task script.","A"
"606","Did the emails say that they're disconnect?","NULL"
"978","...specific on the ones that are critical. We ought to start with those. Larry and I can start, and you can time .","NULL"
"312","Yes, that's something I can do.","NULL"
"4","He's trying to slack off, guys.","NULL"
"856","Does LCAM store the clause?","NULL"
"199","As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.","F"
"814","We can determine at will whether or not the users are in versus .","NULL"
"1113","As a Publisher, I want to have private data packages, so that I can share just with my team.","F"
"231","As a trainer, I want to copy one of my courses or events, so that I can create a new one.","F"
"160","As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website.","F"
"503","As a parent, I want to be able to see if I made all the necessary payments.","F"
"292","As a ResearcherPublisher, I want an integration with Zenodo, so that when I store my dataset in GitHub, I don’t have to retype descriptive information about my dataset.","A"
"1034",".","NULL"
"265","I know.","NULL"
