"id","req_specification","class"
"1592"," Right.","NULL"
"1593"," All of that has to be...We can't mark the entire clause. We can mark that line as being complete.","NULL"
"1594"," I think Susan has a good point. We just need to ask Kevin if he wants to do a nice clean sweep of it all, or if he wants to leave the clause hanging forever.","NULL"
"1595"," Yeah.","NULL"
"1596"," It could be because he won't slow us back, but they're going to go in and clean them up. I don't know, but I can ask. Is it two no clause, and three if it's clause? If we have to do the clause.","NULL"
"1597"," Is that it?","NULL"
"1598"," No. Sit down.","NULL"
"1599"," Trying to get out of things. I have to write my notes. I will send him an email. It will probably be Monday before I send that email because my hair appointment got changed to 11:30. I will definitely be leaving. So the other one...","NULL"
"1600","  to interview, unless you think he just wants to hear back from you.","NULL"
"1601"," What I was going to do, was write up what we've discussed. That's what I usually do when I send him something back that says, ""Here is our understanding of your request."" If we do this, then it's two points, if we clean up the clause, then it's three points.","NULL"
"1602"," I basically write what I would put in the story of the email back to him, so that it makes sense to me. Then if he signs off on it, that's what goes in the story. If he comes back and says, ""Oh, but what about this?"" Then I update and send it back to him.","NULL"
"1603"," You're welcome to try that if you want to.","NULL"
"1604"," I can try.","NULL"
"1605"," Yes, and if you don't mind send that to me, and then if it's OK then I'll forward it on to him, because I can check my emails after I get home today.","NULL"
"1606"," Yes, absolutely. That's what I'll do.","NULL"
"1607"," OK, thank you. That's good.","NULL"
"1608"," I'll draft it up and send it to you.","NULL"
"1609"," OK. That sounds great. The other thing that we were going to talk about, and  you were copied on this from Smiley. It says scanner, but this is where they wanted to talk about the wireless scanners to use with LCAM.","NULL"
"1610"," I'm just going to give the guys an update. I talked to Smiley yesterday about what specifically he means, and in his mind he means is what we mean when we say wireless scanner. It acts just like a tethered scanner, but it's wireless.","NULL"
"1611"," The guy in the field who's wanting this functionality is thinking more of an offline scanner where you sit it into a...","NULL"
"1612"," Docking station.","NULL"
"1613"," A docking station and it uploads a buttload of data at one time. I told him that I have a meeting set up to talk to you guys about this, but that the offline scanners is definitely way more complex than wireless scanners.","NULL"
"1614"," It may not even come to pass, because the whole deal is the people in the field are doing cycle counts. Can you give a brief explanation of cycle counts so we're not the same page of what we're talking about?","NULL"
"1615"," A cycle count is where they go out and look and see what spare equipment they have in these spare cabinets, and LCAM says one thing, and what's actually in the field could be different so it has to be reconciled to what's there and what LCAM has. I don't often Kevin, do you know how often you do cycle counts?","NULL"
