"id","req_specification","class"
"1"," Where's Susan?","NULL"
"2"," I'm here. I am desperately trying to get the board to show up.","NULL"
"3"," She's too busy to push the button to answer the phone. Patrick had to do it. He was closest to the phone.","NULL"
"4"," I'm sorry. Deal with it. I haven't even written down what day of the week it is yet.","NULL"
"5"," It's Friday.","NULL"
"6"," It's Friday.","NULL"
"7"," I have to write this crap down because I have to have all my notes. Grady is done with all of his stuff.","NULL"
"8"," I've got a first  . Tested it the best I can.","NULL"
"9"," Have you deployed it?","NULL"
"10"," No, that's what 1.1 is doing.","NULL"
"11"," He's got to test it!","NULL"
"12"," OK, well I haven't deployed 1.1 yet.","NULL"
"13"," You did. Last week. We tested some of it.","NULL"
"14"," Yeah but this is not that 1.1. I'll do 1.1 in a bit. A 1.1 build later today. I'll deploy it for you.","NULL"
"15"," What else will we  ?","NULL"
"16"," Do we need to...?","NULL"
"17"," Nothing from me.","NULL"
"18"," Nothing from me. ","NULL"
"19","  merge back.","NULL"
"20"," Should already be indexed. I'll build that from  second merge is done.","NULL"
"21"," So you don't have any updates on these because you spent the whole day doing other practice for the area. Are going to get finished before next Friday?","NULL"
"22"," Dang right I will.","NULL"
"23","  Is it going to be right?","NULL"
"24"," Of course.","NULL"
"25"," It'll compile well. That's really all we need. It compiles. Adam. So you know how this one's...So you need to...","NULL"
"26"," Yeah.","NULL"
"27"," You'll add a task on that one. Who thinks he can get this done? For one thing, because, like I told him, I don't care if the tester gets updated because it needs to be tested with CTDI next week anyway.","NULL"
"28"," So if you can just get it done and then test with them and fix anything, then update the tester after the fact so that somebody can actually test against it, we could get away with that this time if we can get it in.","NULL"
"29"," I mean, I would rather it be in 1.1 just so we'll be done done with everything related to that interface and not have it hanging over us.","NULL"
"30"," Yeah, that'll knock some time off. Not having to update the tester.","NULL"
"31"," Yeah, as long as the tester gets updated like the week after or two weeks after so that it's available for when we need to do tests on the interface, because he's also off that week that you're off. That's why I'm like, stuff's got to be done. It's got to be right because you all are off, which is allowed. Just got to be done.","NULL"
"32"," With your permission, right?","NULL"
"33"," As long as your stuff is done and it's right.","NULL"
"34"," Of course.","NULL"
"35"," Mamma has spoken.","NULL"
"36"," Yeah. Well, that's life.","NULL"
"37"," I could finish that story up if I could just...","NULL"
"38"," If you could ever get two hours.","NULL"
"39"," If I could get an hour and a half, two hours together. I could finish that one. I'll finish today.","NULL"
"40"," OK. That'll be good. If he's going to finish this one today, it would actually be good to wait until Monday to get our next release because then we'll have the reports that we can test and this serialized change on the UI.","NULL"
"41"," Now you've put the pressure on me. Now I can't do it.","NULL"
"42"," build until next week.","NULL"
"43"," I'm just kidding. It's OK.","NULL"
"44"," We're going to be building 1.1 next week because we're going to have to because it has to be done next week so some of this stuff has to be being tested. If he can get this finished today and you all get everything merged back then you can make the build today but I would say let's wait on this because otherwise, the only thing we have is that report to test.","NULL"
"45"," The other report was available the last time you built for me. I just haven't tested it yet.","NULL"
"46","  .","NULL"
"47"," That's all you've got. Yeah. Grady and Drake and Patrick.","NULL"
"48"," Still chipping away at it. Get the details on a separate page. On a search page, you jump already to the second page, about to add all the old value, new value stuff. Chipping away at it. Didn't get all that done yesterday. Other questions and stuff.","NULL"
"49"," When do you realistically think it might be something that you can release to us for testing? Like, next Wednesday ish or going to be later? If it's later, then it's later.","NULL"
"50"," Yeah, hopefully.","NULL"
"51"," Hopefully by Wednesday. I mean, it shouldn't take us that long to test. I put something like four hours down, because we've got to  the data and then we've to go in and play around with all the...","NULL"
"52"," I can knock out a good chunk of it today. There will be a good first look there. I'd hope you'd have something functional Wednesday, even if it's still rough.","NULL"
"53"," That sounds good. You all want to look at mine just so you all can laugh how I haven't done anything?","NULL"
"54"," There it is. All of this has my name on it. Let's see what Kevin  . Yeah, he's supposed to test that and...","NULL"
"55"," The only thing I got is the CTDI stuff.","NULL"
"56"," Yeah, which you can't do anything on right now.","NULL"
"57"," Which I can't do, yeah. And remove the header. That's the new...has nothing needed, right?","NULL"
"58"," Yeah, it's not ready yet either. That's the one Adam said if he could get two hours, he could get it done today.","NULL"
"59"," I've got the other two done.","NULL"
"60"," Do we have anything that we need to talk to them about today? No? That's good. Today is what? 3/18. Friday.","NULL"
"61"," What's the deal on the projects for the shipments coming in?  shipments.","NULL"
"62"," It was because the projects table had duplicates. It had multiple blanket projects in it. It was a conversion issue.","NULL"
"63"," So it's just getting the top one out of multiple matching...","NULL"
"64"," Yeah.","NULL"
"65"," I saw the email.","NULL"
"66"," It should not be a problem and all of them are prior to 3.16 that have that and we fixed it one day this week. I'm assuming late on the 15th or on the 16th because they've gone places. I'm going to hang up and call into the call now, Kevin.","NULL"
"67"," See you guys.","NULL"
"68"," All right. Bye.","NULL"
"69"," Please enter the conference pin number.","NULL"
"70"," Is Grady going to do that?","NULL"
"71"," Yeah.","NULL"
"72"," Hey, it's Cathy Jenkins.","NULL"
"73"," Hey Cathy. Is anybody else on the call? Hi, who joined?","NULL"
"74"," Hello, it's Kim.","NULL"
"75"," Hey Kim. Hi, who joined? Hey Jim. Hi, who joined?","NULL"
"76"," Kevin.","NULL"
